地区,缩写,语言,上线日期
 美国,US,英文,2005年2月15日[31]
 巴西,BR,葡萄牙语,2007年6月19日[32]
 西班牙,ES,西班牙语,2007年6月19日[32]
 法国,FR,法语,2007年6月19日[32]
 爱尔兰,IE,爱尔兰英语,2007年6月19日[32]
 意大利,IT,意大利语,2007年6月19日[32]
 日本,JP,日语,2007年6月19日[32]
 波兰,PL,波兰语,2007年6月19日[32]
 英国,UK,英国英语,2007年6月19日[32]
 荷兰,NL,荷兰语,2007年6月19日[32]
 墨西哥,MX,墨西哥西班牙语,2007年10月11日[33]
 香港,HK,英语、繁体中文及简体中文[b],2007年10月17日[34]
 台湾,TW,繁体中文,2007年10月18日[35]
 澳大利亚,AU,澳大利亚英语,2007年10月22日[36]
 新西兰,NZ,新西兰英语,2007年10月22日[36]
 加拿大,CA,加拿大英语和加拿大法语,2007年11月6日[37]
 德国,DE,德语,2007年11月8日[38]
 俄罗斯,RU,俄语,2007年11月13日[39]
 韩国,KR,朝鲜语,2008年1月23日[40]
 印度,IN,印度英语和印地语,2008年5月7日[41]
 捷克,CZ,捷克语,2008年10月9日
 以色列,IL,希伯来语,2008年9月16日
 瑞典,SE,瑞典语,2008年10月22日
苏格兰,KL,苏格兰英语,2009年1月13日
 南非,ZA,南非英语,2010年5月17日
阿尔及利亚,DZ,阿拉伯语,2011年3月9日
埃及,EG,阿拉伯语,2011年3月9日
沙特阿拉伯,SA,阿拉伯语,2011年3月9日
突尼斯,TN,阿拉伯语,2011年3月9日
约旦,JO,阿拉伯语,2011年3月9日
摩洛哥,MA,阿拉伯语,2011年3月9日
 也门,YE,阿拉伯语,2011年3月9日
 肯尼亚,KE,斯瓦希里语和肯尼亚英语,2011年9月1日[42]
 菲律宾,PH,英语和菲律宾语,2011年10月13日
 新加坡,SG,新加坡英语、马来语和简体中文,2011年10月13日
 比利时,BE,比利时法语和比利时荷兰语,2011年11月16日
 哥伦比亚,CO,哥伦比亚西班牙语,2011年11月30日
 乌干达,UG,乌干达英语,2011年12月2日
 尼日利亚,NG,尼日利亚英语,2011年12月7日
 智利,CL,智利西班牙语,2012年1月20日
 匈牙利,HU,匈牙利语,2012年2月29日
 马来西亚,MY,马来语、简体中文和马来西亚英语,2012年3月22日
 秘鲁,PE,秘鲁西班牙语,2012年3月25日
 阿联酋,AE,阿拉伯语和阿联酋英语,2012年3月29日
 希腊,GR,希腊语,2012年5月1日
 印度尼西亚,ID,印尼语和印尼英语,2012年6月14日[43]
 加纳,GH,加纳英语,2012年6月21日
 塞内加尔,SN,塞内加尔英语,2012年7月12日[44]
 土耳其,TR,土耳其语,2012年10月1日[45]
 乌克兰,UA,乌克兰语,2012年11月13日[46]
 丹麦,DK,丹麦语,2013年2月5日[47]
 芬兰,FI,芬兰语,2013年2月5日[47]
 挪威,NO,挪威语,2013年2月5日[47]
 瑞士,CH,德语、法语和意大利语,2013年4月9日[48]
 奥地利,AT,德语,2013年4月11日[49]
 罗马尼亚,RO,罗马尼亚语,2013年4月25日[50]
 葡萄牙,PT,葡萄牙语,2013年5月7日[51]
 斯洛伐克,SK,斯洛伐克语,2013年5月21日[52]
 巴林,BH,阿拉伯语,2013年9月16日[53]
 科威特,KW,阿拉伯语,2013年9月16日[53]
 阿曼,OM,阿拉伯语,2013年9月16日[53]
 卡塔尔,QA,阿拉伯语,2013年9月16日[53]
 波黑,BA,克罗地亚语和塞尔维亚语,2014年3月18日
 保加利亚,BG,保加利亚语,2014年3月18日[54]
 爱沙尼亚,EE,爱沙尼亚语,2014年3月18日
 克罗地亚,HR,克罗地亚语,2014年3月18日[55]
 立陶宛,LT,立陶宛语,2014年3月18日
 拉脱维亚,LV,拉脱维亚语,2014年3月18日[56]
 黑山,ME,克罗地亚语和塞尔维亚语,2014年3月18日
 北马其顿,MK,塞尔维亚语和土耳其语,2014年3月18日
 塞尔维亚,RS,塞尔维亚语,2014年3月18日
 斯洛文尼亚,SI,斯洛文尼亚语,2014年3月18日[57]
 泰国,TH,泰语,2014年4月1日[58]
 黎巴嫩,LB,阿拉伯语,2014年5月9日
 波多黎各,PR,西班牙语和英语,2014年8月29日
 冰岛,IS,冰岛语,2014年
 卢森堡,LU,法语和德语,2014年
 越南,VN,越南语,2014年10月1日
 利比亚,LY,阿拉伯语,2015年2月1日
 坦桑尼亚,TZ,斯瓦希里语和英语,2015年6月2日
 津巴布韦,ZW,英语,2015年6月2日
 阿塞拜疆,AZ,阿塞拜疆语,2015年10月12日
 白俄罗斯,BL,俄语,2015年10月12日
 格鲁吉亚,GE,格鲁吉亚语,2015年10月12日
 哈萨克斯坦,KA,哈萨克语,2015年10月12日
 尼泊尔,NE,尼泊尔语,2016年1月12日
 巴基斯坦,PA,乌尔都语和巴基斯坦英语,2016年1月12日
 斯里兰卡,LK,僧伽罗语和泰米尔语,2016年1月12日
 伊拉克,IR,阿拉伯语,2016年
 牙买加,JA,牙买加英语,2016年
